,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,65000,96000,104000,113000,129000,0,0,0,160000,191000,192000,245000,245000,308000,333000,346187,381908,387222,484299,577028,647375,741538,794820,1003920,1250032,1374073,1518727,1569933,1564010,1756668,1924186,2670316,3166300,3581929,3896152,4065322,3965495,3747807,3431404,3494089,3533936,3603546,3781082,4043987,4058218,4201887,3521477,3801242,3952531,4140394,4278002,4796223,2598561,2628187,2759452,2748648,2790747,9619883,3130643,3340749,3472798,3676950,3777376,4067881,4375522,4467084,4443646,4435395,4579489,5912665,7802403,7828447
Alabama,244000,285000,271000,298000,330000,375000,487000,691000,836000,1026000,1306000,1223000,1260000,1255000,1202000,1271000,1378000,1451000,1491000,1556000,1682000,1723000,1776000,1951000,2017000,2121000,2192000,2386000,2557000,2843000,3236000,3544014,3871399,4286723,4428120,5024425,5777332,6791991,7711713,8367010,9164081,10169563,11701473,12657531,13450183,14089003,15637110,16632487,17835100,19802215,20817350,23443041,24585204,26958785,29284539,31881228,33560332,35362684,37373907,39566199,42137709,45477073,72695328,101764973,122523513,129917114,132086754,139425817,146348561,157032383,158391207,167598796,168978039,182986416,180773242,171629630,174724044,181098592,181152119,192573090,203519659,209649795,212296583,217365276,210765136,254621657,192207679,185819483
Arkansas,144000,179000,168000,175000,200000,221000,288000,405000,482000,629000,765000,783000,789000,801000,796000,843000,877000,923000,941000,982000,1042000,1057000,1062000,1162000,1247000,1289000,1421000,1548000,1700000,1875000,2043000,2210010,2390369,2620862,2780141,3104277,3636030,4230118,4922101,5427786,6018265,6612326,7446615,8021805,8756245,9498056,10317721,11317381,12694700,14082871,14934601,15848304,15744861,16400532,17218585,19053236,20940441,22240125,22813590,23431427,25259373,26539306,24703471,21503003,22467329,21545122,23535617,26504791,29756681,31684828,34254597,37767807,39716757,39353204,42238017,45231317,46975586,49500289,50307303,52857888,61203718,71710694,78071141,85715430,89743218,108521863,119100228,130305103
Arizona,64000,76000,84000,88000,91000,100000,112000,173000,229000,288000,369000,393000,411000,422000,414000,468000,530000,609000,634000,691000,750000,849000,902000,1030000,1164000,1265000,1453000,1584000,1732000,1970000,2096000,2238965,2504362,2856223,3110698,3547631,4322061,5248277,5784841,5710373,6225871,6733694,7600711,8870955,10346618,11375953,12152935,13436651,15857400,18446222,20889331,23825806,23431687,23400301,23118529,28393941,30363744,29768388,29702641,30893821,34087536,28220914,22837253,25121523,25896056,30687153,18416529,18607323,19728162,11356258,14166597,13871638,13326230,12212253,12101448,11456995,9963573,10383805,15600689,16738316,15300534,17978845,20663792,23101530,26842113,36792110,53394478,56714063
California,3604000,3974000,3940000,4077000,4275000,4701000,5248000,6702000,8810000,10770000,13196000,13017000,13110000,13137000,13186000,13965000,15115000,16342000,16761000,17954000,19065000,19651000,20778000,22787000,23823000,24338000,27083000,29019000,30981000,33665000,35341000,37285578,41254076,45421547,43501496,49348945,56161156,64068070,70849088,79183770,85317024,88902503,101015239,158779375,177782960,192609517,208882040,218788197,225827800,231278920,240227210,241159472,233118321,243743404,263095950,279706938,287127612,271213290,267034118,275419028,286427796,321516058,361469801,398768140,226291885,238507309,257627298,305934223,367361611,218320087,243035047,257575343,256628500,267325156,287545434,299326421,331003915,362410022,393545244,459698582,507342168,561672240,586598135,617585276,669626186,838189757,1044662086,944493268
Colorado,289000,335000,315000,322000,342000,369000,414000,562000,718000,840000,1093000,1083000,1124000,1095000,1119000,1209000,1308000,1405000,1428000,1550000,1594000,1636000,1694000,1864000,1905000,2005000,2301000,2344000,2507000,2694000,2870000,3023189,3446497,3858600,3927496,4330039,5027472,5976933,6628695,6988495,7392596,8317471,9635329,11009858,12350870,13391456,14659276,16418893,18226700,19889790,21290489,21568935,20657716,21403523,21811416,22724449,24435795,25770477,30015957,29704615,31248458,34319124,29228489,31263488,33812838,37314571,36872000,37406956,27484918,30440245,34089093,36981108,39624760,40836079,40951246,39392130,35543716,36730909,36905281,39536443,41534093,47635627,52077379,52981996,49481850,61510645,72331585,79875103
Connecticut,441000,476000,474000,493000,554000,639000,735000,883000,1136000,1305000,1362000,1219000,1260000,1268000,1433000,1634000,1796000,1883000,1934000,1987000,2149000,2243000,2222000,2277000,2288000,2350000,2521000,2711000,2807000,3121000,3377000,3660160,4257652,4805204,4605371,5221536,5564539,6446554,6871492,6982920,7392759,7613682,8987352,10061666,10802700,11559349,11949054,12576019,15694000,17848249,21277381,26690719,28323804,30092661,32144644,31697935,28141768,26921875,23595402,25348273,24016943,8639343,4019960,5052863,2538854,2796495,3145501,3061539,4359750,15500689,17646345,16474049,18258556,17925219,20474184,19747529,20338141,20683347,18786472,20109968,51160542,54427273,60543728,64423503,73113399,86161532,91768466,62402598
District Of Columbia,294000,334000,323000,342000,362000,420000,496000,604000,708000,856000,1060000,1022000,1024000,1020000,1038000,1162000,1258000,1271000,1267000,1336000,1376000,1409000,1403000,1504000,1460000,1532000,1646000,1776000,1933000,2090000,2281000,2345110,2591401,2703930,2691883,2851323,2951573,3204862,3437088,3585604,3672571,3885286,4391857,5838979,6353506,6976887,7965836,8553348,10090300,11297826,12221781,14032555,14500413,15343009,16289531,15411031,12726770,11014129,9802252,7218681,7716641,2550450,863613,986979,524141,614331,353066,400122,495499,595281,753670,811278,1191801,1058582,1206607,1301929,1242260,1493935,1579011,1716300,1842819,901836,970305,1035861,1205937,1418633,2110331,2133352
Delaware,132000,166000,170000,169000,205000,236000,243000,299000,372000,400000,475000,467000,431000,431000,472000,533000,531000,499000,523000,551000,605000,619000,629000,641000,660000,701000,733000,811000,799000,863000,971000,959865,1056746,1154454,1204726,1280002,1424086,1674400,1786994,1840146,1955536,2268666,2427684,2611134,2746869,2903137,3030800,5285234,7839700,9764828,12565777,16347340,22697912,26998968,31438578,34313709,36023913,33603089,34872661,35134841,39585572,40150859,50822924,54162336,64302751,77827081,83511315,80206120,79203556,176305152,183847375,185238390,217121615,190693469,479496450,519567438,546870663,660169847,707143484,620699600,682350050,697079842,748394860,760873516,760351188,950375019,1060959394,1016682716
Florida,268000,333000,324000,348000,409000,489000,560000,757000,1057000,1404000,1798000,1733000,1712000,1646000,1737000,2001000,2203000,2464000,2633000,2945000,3285000,3674000,4066000,4486000,4728000,4867000,5247000,5535000,6011000,6802000,7686000,8302710,9681800,11512985,12297018,13937771,16211256,19713837,22855255,24094232,24885339,26752065,29701768,32194393,36166498,40536933,43174922,49622635,58310000,65846997,74251973,87186778,91697515,100306027,111410477,116983182,119879408,124492189,123634319,135338705,125025950,130468294,92116846,62468505,64927897,47716580,50668079,58630834,64076594,71043392,77416923,85929832,83083333,89157519,93302037,83764213,78019697,96704925,101551628,106567879,114747292,119789196,125843726,131622442,128118987,164807745,191045272,200870323
