"BRANCHES","ID","STNAME","TOTAL","YEAR"
105,"CB_2022_AK","Alaska",5,"2022"
1305,"CB_2022_AL","Alabama",97,"2022"
1232,"CB_2022_AR","Arkansas",83,"2022"
3,"CB_2022_AS","American Samoa",0,"2022"
985,"CB_2022_AZ","Arizona",14,"2022"
5856,"CB_2022_CA","California",122,"2022"
1267,"CB_2022_CO","Colorado",65,"2022"
600,"CB_2022_CT","Connecticut",10,"2022"
191,"CB_2022_DC","District Of Columbia",4,"2022"
191,"CB_2022_DE","Delaware",17,"2022"
4153,"CB_2022_FL","Florida",88,"2022"
7,"CB_2022_FM","Federated States of Micronesia",1,"2022"
1918,"CB_2022_GA","Georgia",140,"2022"
12,"CB_2022_GU","Guam",2,"2022"
147,"CB_2022_HI","Hawaii",5,"2022"
1196,"CB_2022_IA","Iowa",246,"2022"
403,"CB_2022_ID","Idaho",10,"2022"
3290,"CB_2022_IL","Illinois",333,"2022"
1562,"CB_2022_IN","Indiana",73,"2022"
1098,"CB_2022_KS","Kansas",202,"2022"
1395,"CB_2022_KY","Kentucky",116,"2022"
1174,"CB_2022_LA","Louisiana",95,"2022"
1022,"CB_2022_MA","Massachusetts",18,"2022"
1167,"CB_2022_MD","Maryland",23,"2022"
216,"CB_2022_ME","Maine",5,"2022"
1,"CB_2022_MH","Marshall Islands",0,"2022"
2006,"CB_2022_MI","Michigan",74,"2022"
1297,"CB_2022_MN","Minnesota",245,"2022"
1916,"CB_2022_MO","Missouri",207,"2022"
7,"CB_2022_MP","Northern Mariana Islands",0,"2022"
1046,"CB_2022_MS","Mississippi",62,"2022"
334,"CB_2022_MT","Montana",37,"2022"
1979,"CB_2022_NC","North Carolina",28,"2022"
319,"CB_2022_ND","North Dakota",62,"2022"
866,"CB_2022_NE","Nebraska",145,"2022"
245,"CB_2022_NH","New Hampshire",4,"2022"
1914,"CB_2022_NJ","New Jersey",28,"2022"
353,"CB_2022_NM","New Mexico",30,"2022"
405,"CB_2022_NV","Nevada",15,"2022"
3593,"CB_2022_NY","New York",86,"2022"
2749,"CB_2022_OH","Ohio",131,"2022"
1090,"CB_2022_OK","Oklahoma",177,"2022"
742,"CB_2022_OR","Oregon",13,"2022"
315,"CB_2022_OT","Other Areas",7,"2022"
2953,"CB_2022_PA","Pennsylvania",85,"2022"
265,"CB_2022_PR","Puerto Rico",3,"2022"
2,"CB_2022_PW","Palau",0,"2022"
158,"CB_2022_RI","Rhode Island",4,"2022"
1077,"CB_2022_SC","South Carolina",34,"2022"
372,"CB_2022_SD","South Dakota",54,"2022"
1841,"CB_2022_TN","Tennessee",115,"2022"
5914,"CB_2022_TX","Texas",361,"2022"
69590,"CB_2022_US","United States",4129,"2022"
69905,"CB_2022_USA","United States & Other Areas",4136,"2022"
477,"CB_2022_UT","Utah",40,"2022"
1860,"CB_2022_VA","Virginia",62,"2022"
18,"CB_2022_VI","Virgin Islands Of The U.S.",1,"2022"
168,"CB_2022_VT","Vermont",7,"2022"
1301,"CB_2022_WA","Washington",34,"2022"
1447,"CB_2022_WI","Wisconsin",149,"2022"
