,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171000,205000,208000,264000,266000,329000,362000,373384,411660,424780,525870,631436,715186,826405,912466,1163184,1425711,1593077,1769252,1921513,1980618,2251132,2460533,3374212,3949300,4436427,4909423,5025564,4954122,4526956,4338088,4450140,4611097,4739428,4979245,5316016,5475013,5815789,4848015,5146592,5430751,6173564,6271505,6844171,3502412,3520606,3685657,3836448,3954234,31009104,4341052,4497063,4651727,4891265,5054224,5511022,5842235,5914458,5974228,6088384,6329792,7870527,9540574,9287424
Alabama,290000,333000,320000,346000,380000,426000,540000,746000,894000,1089000,1374000,1299000,1341000,1343000,1297000,1375000,1488000,1569000,1617000,1692000,1828000,1884000,1949000,2137000,2222000,2350000,2440000,2659000,2854000,3156000,3586000,3936179,4310175,4762945,5013803,5681290,6556374,7737492,8922820,9767646,10772953,11872788,13579232,14737005,15785086,16859068,18719337,20426994,22252300,24660824,26116985,29288557,30815579,33606620,36181931,38903117,41190780,43845234,46907035,51345782,56322058,63220955,101184374,140861182,177727146,181456064,189687017,201363249,212615667,234972027,216238024,228248052,242934637,266206463,239706923,224105632,222605668,228410376,226851227,239844016,255870765,257705304,261309765,271722049,260446687,299905496,221856639,214944458
Arkansas,166000,201000,192000,199000,225000,247000,316000,434000,512000,662000,802000,825000,836000,852000,852000,905000,943000,995000,1018000,1066000,1132000,1152000,1164000,1271000,1364000,1416000,1556000,1705000,1872000,2057000,2240000,2429156,2639385,2898278,3091083,3468608,4091371,4793555,5635864,6241757,6894432,7586435,8552392,9266088,10256189,11090401,12313406,13618918,15051700,16389327,17198585,17950983,17758727,18549391,19492587,21501198,23550419,25031886,26050605,27086353,29157391,30721366,28734350,25127636,26725095,25676774,28164608,31875066,36186444,38802070,42323774,46462984,49028384,50154785,52731347,55431836,57412895,60268504,61051569,64756178,75317962,88060190,97636998,107524039,112764265,134045136,145332748,158175942
Arizona,70000,83000,91000,96000,99000,108000,121000,181000,238000,300000,382000,410000,430000,445000,440000,498000,568000,651000,682000,749000,818000,923000,985000,1125000,1271000,1404000,1599000,1751000,1929000,2194000,2338000,2516376,2843906,3231199,3486357,4027029,5197412,6171472,7001517,7028863,7542862,7538655,8730154,10175930,12152594,13354224,14702969,16656730,18997800,21474757,24553348,27592678,27677927,28200702,26427948,32651832,35570354,36264432,37103567,42942548,51393642,48052148,39330216,42261068,47665225,61829519,43794185,48365355,59954040,58624495,80451166,17962584,18496998,15654080,14519487,13573658,11961989,12184544,18268749,19594295,17919749,21096529,24388774,27312622,31210017,41951321,62131230,71026162
California,4007000,4383000,4352000,4501000,4711000,5182000,5742000,7200000,9333000,11384000,13861000,13754000,13911000,13993000,14133000,15129000,16310000,17698000,18191000,19547000,20753000,21548000,22757000,24859000,26061000,26888000,29845000,32344000,34860000,37730000,39847000,42648582,46693506,52092328,53156447,57988465,66851242,76317867,87300102,95867491,103198362,108705404,124788176,191881361,219233015,237970937,262382704,275445870,276101500,279210958,294245506,292705702,283002146,300563644,323612462,345361081,352796365,329679699,328493432,345411991,368224217,417223890,474811795,515969444,286742618,320006950,360840645,428718410,494709352,279986566,320278760,350267417,377169872,408004443,408311711,430592250,449683677,466044878,510562877,588419629,641645784,699554992,738505927,783132880,843934348,997569630,1207596000,1154371277
Colorado,320000,367000,348000,357000,379000,407000,454000,604000,762000,887000,1144000,1141000,1187000,1164000,1194000,1292000,1398000,1503000,1535000,1666000,1726000,1777000,1845000,2027000,2073000,2199000,2509000,2591000,2785000,2991000,3189000,3360060,3805970,4299349,4564145,4998516,5752568,6888340,7757429,8266499,8695878,9675139,11230873,13008713,14715186,16145282,18281257,20285958,22254300,24247861,25591593,25999271,25028684,25716349,26276718,26916638,28111282,29587814,34436459,35265338,37356790,41011927,33875292,36141821,41657789,46550534,49975311,47774125,32689413,36522841,40824092,43933775,47745891,49846689,47727501,45318623,41092470,42415220,42425032,45688526,48036966,54800592,60294745,62137353,57160356,70559554,80828713,90923565
Connecticut,515000,553000,551000,570000,632000,718000,816000,965000,1221000,1397000,1462000,1324000,1370000,1380000,1560000,1768000,1938000,2037000,2099000,2168000,2343000,2452000,2444000,2513000,2558000,2664000,2854000,3065000,3229000,3546000,3835000,4174160,4814021,5406766,5362324,5987021,6329136,7371708,7887617,8178535,8633264,8990751,10383303,11992218,12944890,13949611,14742836,15551358,19288100,22060898,26022407,33088086,35838149,39541878,40332439,36069948,33161207,32840101,32921789,34678982,33999014,10880649,4772047,6493642,3156292,3413690,3775611,3778237,6047908,23731334,26145531,22035805,24424463,24759327,25536520,25314164,26461939,27175165,25255774,27643035,68397033,72234493,77974728,82218542,95113954,102752290,107871379,80614042
District Of Columbia,336000,379000,369000,389000,411000,471000,548000,657000,762000,912000,1121000,1091000,1097000,1094000,1116000,1246000,1348000,1367000,1365000,1441000,1493000,1536000,1532000,1630000,1607000,1679000,1803000,1952000,2134000,2310000,2520000,2601386,2868887,3009345,3038290,3205704,3343088,3687138,4030563,4264804,4389083,4551476,5379190,7086581,7815938,8648332,9851866,10577145,12537400,13902983,15101193,17134558,18418652,19287763,20545547,18102985,14820312,13662273,13292443,8917135,9836826,3411282,1151668,1345910,648694,753961,430024,498704,607603,720854,927029,997997,1522477,1385112,1491293,1626131,1534198,1806899,1929239,2108889,2286367,1057395,1162334,1266621,1419738,1693659,2595083,2787122
Delaware,170000,205000,210000,209000,246000,277000,286000,341000,415000,444000,522000,515000,481000,483000,526000,589000,590000,559000,586000,618000,674000,689000,703000,720000,748000,820000,840000,918000,915000,986000,1100000,1091742,1196863,1304245,1367954,1463512,1672588,1997856,2239744,2332636,2430685,2770463,3075091,3410329,3484080,3685060,4402514,7759100,13249400,19064400,28045297,34617273,44599603,59214182,70815270,74320310,74449196,77497656,86780061,93092505,110854675,119005663,131571624,131525165,133335375,151686840,163224385,150872225,159334787,339796736,343653508,452692726,485131482,437185020,714266823,849493347,837184311,975708563,1012371836,919055551,987005388,1013425143,1059757420,1070205384,993520912,1149782426,1276711950,1261575050
Florida,301000,368000,362000,389000,452000,535000,610000,813000,1118000,1474000,1882000,1828000,1817000,1757000,1859000,2139000,2357000,2633000,2822000,3159000,3535000,3961000,4394000,4869000,5193000,5352000,5771000,6143000,6706000,7562000,8526000,9246639,10702523,12742781,13799377,15662216,18195692,22246618,26172399,27947911,28572415,30500016,33985993,37419342,42185430,48004524,51837974,59844536,69501400,77157674,87986637,103220886,110976500,120273817,133086622,137246494,138898824,147530178,150389278,164209783,150761834,160707812,116932310,81196896,86255325,58880555,62194011,72084152,79300761,89237568,97523960,113035503,112921133,116358616,114431745,102580915,95519414,118829409,124375934,133559893,144020687,150920759,156762621,162611308,159637990,199192749,223217591,239255506
