"ASSET","BANKS","DEP","EQNM","ID","NETINC","STNAME","YEAR"
9287424,5,7828447,670027,"CB_2022_AK",105184,"Alaska","2022"
214944458,97,185819483,20138629,"CB_2022_AL",3169873,"Alabama","2022"
158175942,83,130305103,18859401,"CB_2022_AR",1982495,"Arkansas","2022"
0,0,0,0,"CB_2022_AS",0,"American Samoa","2022"
71026162,14,56714063,6069975,"CB_2022_AZ",1064397,"Arizona","2022"
1154371277,122,944493268,112233977,"CB_2022_CA",9856734,"California","2022"
90923565,65,79875103,6695957,"CB_2022_CO",1018560,"Colorado","2022"
80614042,10,62402598,9406632,"CB_2022_CT",789989,"Connecticut","2022"
2787122,4,2133352,390457,"CB_2022_DC",11765,"District Of Columbia","2022"
1261575050,17,1016682716,121749320,"CB_2022_DE",15453247,"Delaware","2022"
239255506,88,200870323,20854820,"CB_2022_FL",2504257,"Florida","2022"
225251,1,201345,23356,"CB_2022_FM",2280,"Federated States of Micronesia","2022"
149304317,140,126383505,13805775,"CB_2022_GA",2018338,"Georgia","2022"
2687746,2,2458214,182432,"CB_2022_GU",13711,"Guam","2022"
57019695,5,50329562,4198871,"CB_2022_HI",584884,"Hawaii","2022"
112078065,246,94111523,10025729,"CB_2022_IA",1309670,"Iowa","2022"
9247777,10,8066817,864310,"CB_2022_ID",114897,"Idaho","2022"
607916549,333,496547724,58151723,"CB_2022_IL",5676161,"Illinois","2022"
161495748,73,131173174,15598963,"CB_2022_IN",1983352,"Indiana","2022"
81203844,202,69925222,6820058,"CB_2022_KS",948446,"Kansas","2022"
72690721,116,61741762,6680365,"CB_2022_KY",860778,"Kentucky","2022"
66697466,95,56886618,6212599,"CB_2022_LA",767359,"Louisiana","2022"
400586365,18,326327561,37590460,"CB_2022_MA",3825146,"Massachusetts","2022"
53666416,23,45039471,5737892,"CB_2022_MD",767062,"Maryland","2022"
16064703,5,13410121,1468864,"CB_2022_ME",203727,"Maine","2022"
0,0,0,0,"CB_2022_MH",0,"Marshall Islands","2022"
57437057,74,47652534,5010822,"CB_2022_MI",718736,"Michigan","2022"
93354290,245,80271583,7972782,"CB_2022_MN",1123088,"Minnesota","2022"
232040218,207,199780297,19247641,"CB_2022_MO",3046798,"Missouri","2022"
